quality_attribute,keyword,matched_word,sentence,source,author,repo,version,url
Usability,simpl,simple,- Make it easier to build simple HydrostaticFreeSurfaceModels (#3620) (@glwagner),MatchSource.RELEASES,CliMA,Oceananigans.jl,v0.93.2,https://github.com/CliMA/Oceananigans.jl/releases/tag/v0.91.10
Usability,simpl,simplifications,- Some simplifications in Docs/Simulations For GPUs (#3170) (@navidcy),MatchSource.RELEASES,CliMA,Oceananigans.jl,v0.93.2,https://github.com/CliMA/Oceananigans.jl/releases/tag/v0.84.1
Usability,usab,usable,- Make OnDisk backend minimally usable (#3014) (@glwagner),MatchSource.RELEASES,CliMA,Oceananigans.jl,v0.93.2,https://github.com/CliMA/Oceananigans.jl/releases/tag/v0.80.0
Usability,user-friendly,user-friendly,- More user-friendly JLD2OutputWriter (#963),MatchSource.RELEASES,CliMA,Oceananigans.jl,v0.93.2,https://github.com/CliMA/Oceananigans.jl/releases/tag/v0.71.5
Usability,simpl,simplified,- Adds a correct simplified Inverse preconditioner (#2141) (@simone-silvestri),MatchSource.RELEASES,CliMA,Oceananigans.jl,v0.93.2,https://github.com/CliMA/Oceananigans.jl/releases/tag/v0.68.2
Usability,clear,clearer,"- Even clearer `show(io, ::AbstractGrid)` (#2114) (@navidcy)",MatchSource.RELEASES,CliMA,Oceananigans.jl,v0.93.2,https://github.com/CliMA/Oceananigans.jl/releases/tag/v0.67.0
Usability,clear,clearing,- Minor clearing up in Bickley jet example (#1979) (@navidcy),MatchSource.RELEASES,CliMA,Oceananigans.jl,v0.93.2,https://github.com/CliMA/Oceananigans.jl/releases/tag/v0.62.2
Usability,guid,guide,"- Can't build docs locally based on instructions in ""Contributor's guide"" (#1542)",MatchSource.RELEASES,CliMA,Oceananigans.jl,v0.93.2,https://github.com/CliMA/Oceananigans.jl/releases/tag/v0.58.6
Usability,guid,guidelines,- Expands contributor guidelines (#1765) (@glwagner),MatchSource.RELEASES,CliMA,Oceananigans.jl,v0.93.2,https://github.com/CliMA/Oceananigans.jl/releases/tag/v0.58.6
Usability,simpl,simplified,"- Improved and simplified BinaryOperation with ""stubborn"" location inference (#1599) (@glwagner)",MatchSource.RELEASES,CliMA,Oceananigans.jl,v0.93.2,https://github.com/CliMA/Oceananigans.jl/releases/tag/v0.55.0
Usability,guid,guide,- Typo in Contributors guide (#1425) (@navidcy),MatchSource.RELEASES,CliMA,Oceananigans.jl,v0.93.2,https://github.com/CliMA/Oceananigans.jl/releases/tag/v0.53.0
Usability,clear,clearer,* The `Cell` location has been renamed to `Center` which is a clearer name for cell centers on the staggered grid.,MatchSource.RELEASES,CliMA,Oceananigans.jl,v0.93.2,https://github.com/CliMA/Oceananigans.jl/releases/tag/v0.46.0
Usability,guid,guide,- Change contributor's guide to ColPrac (#1044),MatchSource.RELEASES,CliMA,Oceananigans.jl,v0.93.2,https://github.com/CliMA/Oceananigans.jl/releases/tag/v0.44.2
Usability,simpl,simplifies,"This design is more flexible and extensible, and also simplifies underlying code.",MatchSource.RELEASES,CliMA,Oceananigans.jl,v0.93.2,https://github.com/CliMA/Oceananigans.jl/releases/tag/v0.43.0
Usability,simpl,simplifies,- Fixes timestepper docstrings and simplifies constructor (#977) (@glwagner),MatchSource.RELEASES,CliMA,Oceananigans.jl,v0.93.2,https://github.com/CliMA/Oceananigans.jl/releases/tag/v0.38.0
Usability,simpl,simplifies,- Fixes typo in docs for non-traditional beta plane and simplifies language (#978) (@glwagner),MatchSource.RELEASES,CliMA,Oceananigans.jl,v0.93.2,https://github.com/CliMA/Oceananigans.jl/releases/tag/v0.38.0
Usability,simpl,simplifies,- Nukes unused code and simplifies timestepping (#786) (@glwagner),MatchSource.RELEASES,CliMA,Oceananigans.jl,v0.93.2,https://github.com/CliMA/Oceananigans.jl/releases/tag/v0.31.0
Usability,simpl,simple,- four new wrapper functions were defined for specifying 'simple' boundary condition functions:,MatchSource.RELEASES,CliMA,Oceananigans.jl,v0.93.2,https://github.com/CliMA/Oceananigans.jl/releases/tag/v0.27.0
Usability,simpl,simplified,* Function signatures for boundary condition functions and forcing functions have been simplified.,MatchSource.RELEASES,CliMA,Oceananigans.jl,v0.93.2,https://github.com/CliMA/Oceananigans.jl/releases/tag/v0.26.0
Usability,simpl,simple,- BoundaryFunction wrapper for simple boundary condition functions (#513),MatchSource.RELEASES,CliMA,Oceananigans.jl,v0.93.2,https://github.com/CliMA/Oceananigans.jl/releases/tag/v0.15.0
Usability,guid,guide,- Add contributing section to README and contributor's guide (#436) ([ali-ramadhan](https://github.,MatchSource.RELEASES,CliMA,Oceananigans.jl,v0.93.2,https://github.com/CliMA/Oceananigans.jl/releases/tag/v0.11.1
Usability,simpl,simplifications,- Minor code simplifications (#325) ([glwagner](https://github.,MatchSource.RELEASES,CliMA,Oceananigans.jl,v0.93.2,https://github.com/CliMA/Oceananigans.jl/releases/tag/v0.9.1
